mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	0				0		
1	1	3/8	3/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	1						
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	2			articStaccatoAbove			
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	3			articStaccatoAbove			
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	4						
1	1	0	0	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	5						
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	6						
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p				
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	7						
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	8						
2	2	2	2	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	9				1		
2	2	19/8	19/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	10						
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	11			articStaccatoAbove			
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	12			articStaccatoAbove			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	13						
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	14						
2	2	2	2	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	15						
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	16						
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	17						
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	18						
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	19				2		
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	20				2		
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	21				2		
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	22						
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	23						
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	24						
3	3	4	4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	25				3		
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	26				3		
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	27				3		
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	28						
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	29						
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	30						
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	31				4		
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	32				4		
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	33				4		
4	4	27/4	27/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	34				4		
4	4	55/8	55/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	35						
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	36						
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	37				5		
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	38				5		
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	39				5		
4	4	27/4	27/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32	1/32	1	40				5		
4	4	55/8	55/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32	1/32	1	41						
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	42						
5	5	8	8	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	43				6		
5	5	67/8	67/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	44						
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	45			articStaccatoAbove			
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	46			articStaccatoAbove			
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	47						
5	5	8	8	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	48						
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	49						
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	50						
6	6	10	10	0.375	0	0	Chord	2/4	1	1	3/32	1/16	3/2	51				7		
6	6	83/8	83/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	52						
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	53			articStaccatoAbove			
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	54			articStaccatoAbove			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	55						
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	56				8		
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	57						
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	58						
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	59						
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	60				9		
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	61				8		
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	62						
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	63				10		
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	64				10		
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	65						
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	66						
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	67				9		
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	68						
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	69				11		
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	70				11		
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	71						
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	72						
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	73				12		
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	74				12		
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	75						
8	8	14	14	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	76						
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	77						
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	78						
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	79						
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	80						
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	81				13		
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	82				14		
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	83						
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	84				15		
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	85						
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	86				13		
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	87						
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	88				16		
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	89				16		
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	90						
10	10	147/8	147/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	91				17		
10	10	37/2	37/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	92				17		
10	10	149/8	149/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	93				17		
10	10	75/4	75/4	0.1875	3/16	3/16	Chord	2/4	1	1	3/64	1/32	3/2	94				17		
10	10	303/16	303/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64	1/64	1	95						
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	96				18		
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	97						
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	98						
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	99						
11	11	161/8	161/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	100				19		
11	11	81/4	81/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	101				19		
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	102				19		
11	11	41/2	41/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	103				19		
11	11	165/8	165/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	104				19		
11	11	83/4	83/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	105				19		
11	11	167/8	167/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	106						
11	11	169/8	169/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	107				20		
11	11	85/4	85/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	108				20		
11	11	171/8	171/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	109				20		
11	11	43/2	43/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	110				20		
11	11	173/8	173/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	111				20		
11	11	87/4	87/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	112				20		
11	11	175/8	175/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	113						
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	114						
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	115						
12	12	177/8	177/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	116				21		
12	12	89/4	89/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	117				21		
12	12	179/8	179/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	118				21		
12	12	45/2	45/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	119				21		
12	12	181/8	181/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	120				21		
12	12	91/4	91/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	121				21		
12	12	183/8	183/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	122						
12	12	185/8	185/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	123				22		
12	12	93/4	93/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	124				22		
12	12	187/8	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	125				22		
12	12	47/2	47/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	126				22		
12	12	189/8	189/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	127				22		
12	12	95/4	95/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	128				22		
12	12	191/8	191/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	129						
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	130						
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	131						
13	13	193/8	193/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	132				23		
13	13	97/4	97/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	133				23		
13	13	195/8	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	134				23		
13	13	49/2	49/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	135				23		
13	13	197/8	197/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	136				23		
13	13	99/4	99/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	137				23		
13	13	199/8	199/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	138						
13	13	201/8	201/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	139				24		
13	13	101/4	101/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	140				24		
13	13	203/8	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	141				24		
13	13	51/2	51/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	142				24		
13	13	205/8	205/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	143				24		
13	13	103/4	103/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	144				24		
13	13	207/8	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	145						
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	146						
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	147				25		
13	13	25	25	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	148				25		
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	149				25		
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	150				25		
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	151						
14	14	209/8	209/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	152				26		
14	14	105/4	105/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	153				26		
14	14	211/8	211/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	154				26		
14	14	53/2	53/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	155				26		
14	14	213/8	213/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	156				26		
14	14	107/4	107/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	157				26		
14	14	215/8	215/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	158						
14	14	217/8	217/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	159				27		
14	14	109/4	109/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	160				27		
14	14	219/8	219/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	161				27		
14	14	55/2	55/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	162				27		
14	14	221/8	221/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	163				27		
14	14	111/4	111/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	164				27		
14	14	223/8	223/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	165						
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	166						
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	167						
15	15	225/8	225/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	168				28		
15	15	113/4	113/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	169				28		
15	15	227/8	227/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	170				28		
15	15	57/2	57/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	171				28		
15	15	229/8	229/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	172				28		
15	15	115/4	115/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	173				28		
15	15	231/8	231/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	174						
15	15	233/8	233/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	175				29		
15	15	117/4	117/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	176				29		
15	15	235/8	235/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	177				29		
15	15	59/2	59/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	178				29		
15	15	237/8	237/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	179				29		
15	15	119/4	119/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	180				29		
15	15	239/8	239/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	181						
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	182						
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	183						
16	16	241/8	241/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	184				30		
16	16	121/4	121/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	185				30		
16	16	243/8	243/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	186				30		
16	16	61/2	61/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	187				30		
16	16	245/8	245/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	188				30		
16	16	123/4	123/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	189				30		
16	16	247/8	247/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	190						
16	16	31	31	0.125	1/4	1/4	Chord	2/4	1	1	1/32	1/32	1	191				31		
16	16	249/8	249/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	192				31		
16	16	125/4	125/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	193				31		
16	16	251/8	251/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	194				31		
16	16	63/2	63/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	195				31		
16	16	253/8	253/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	196				31		
16	16	127/4	127/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	197				31		
16	16	255/8	255/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	198						
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	199						
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	200				32		
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	201				32		
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	202				32		
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	203				32		
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	204						
17	17	257/8	257/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	205				33		
17	17	129/4	129/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	206				33		
17	17	259/8	259/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	207				33		
17	17	65/2	65/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	208				33		
17	17	261/8	261/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	209				33		
17	17	131/4	131/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	210				33		
17	17	263/8	263/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	211						
17	17	33	33	0.125	1/4	1/4	Chord	2/4	1	1	1/32	1/32	1	212				34		
17	17	265/8	265/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	213				34		
17	17	133/4	133/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	214				34		
17	17	267/8	267/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	215				34		
17	17	67/2	67/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	216				34		
17	17	269/8	269/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	217				34		
17	17	135/4	135/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	218				34		
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	219						
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	220						
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	221				35		
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	222				35		
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	223				35		
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	224				35		
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	225						
18	18	273/8	273/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	226				36		
18	18	137/4	137/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	227				36		
18	18	275/8	275/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	228				36		
18	18	69/2	69/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	229				36		
18	18	277/8	277/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	230				36		
18	18	139/4	139/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	231				36		
18	18	279/8	279/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	232						
18	18	281/8	281/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	233				37		
18	18	141/4	141/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	234				37		
18	18	283/8	283/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	235				37		
18	18	71/2	71/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	236				37		
18	18	285/8	285/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	237				37		
18	18	143/4	143/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	238				37		
18	18	287/8	287/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	239						
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	240						
18	18	35	35	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	241						
19	19	289/8	289/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32	1/32	1	242				38		
19	19	145/4	145/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	243	>			38		
19	19	291/8	291/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	244				38		
19	19	73/2	73/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32	1/32	1	245				38		
19	19	293/8	293/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32	1/32	1	246				38		
19	19	147/4	147/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	247				38		
19	19	295/8	295/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	248						
19	19	297/8	297/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32	1/32	1	249				39		
19	19	149/4	149/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32	1/32	1	250	>			39		
19	19	299/8	299/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32	1/32	1	251				39		
19	19	75/2	75/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32	1/32	1	252				39		
19	19	301/8	301/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32	1/32	1	253				39		
19	19	151/4	151/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32	1/32	1	254				39		
19	19	303/8	303/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	255						
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	256						
