mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c.i{					c	i		i		i						{	m	1	1	0, -3, 1		0.0	0.0	0	24	0.0	0.0	6.9375	0.0
4	4	1/2	1/2	3/4	2	1	V43					c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	4	0.0	0.0	1.0	0.0
5	5	0	0	3/4	2	1	#viio65					c	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5.0	2.0	0	27	0.0	0.0	8.0625	0.0
8	8	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	10	0.09090909090909091	0.125	2.125	0.05555555555555555
10	10	0	0	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	4	0.0	0.0	2.0	0.0
10	10	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	12	0.07692307692307693	0.125	2.375	0.05
12	12	0	0	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	4	0.0	0.0	2.0	0.0
12	12	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	13	0.13333333333333333	0.25	2.75	0.08333333333333333
14	14	0	0	3/4	2	1	#viio43(4)					c	i		#viio43(4)		#vii	o	43	4				o7	1	1	-1, -4, 5, -3		5.0	-1.0	0	5	0.0	0.0	2.0	0.0
14	14	1/4	1/4	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	2	0.0	0.0	0.5	0.0
14	14	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	4	0.0	0.0	1.0	0.0
15	15	0	0	3/4	2	1	#viio6(2)					c	i		#viio6(2)		#vii	o	6	2				o	1	1	2, -1, 0		5.0	2.0	0	4	0.0	0.0	1.5	0.0
15	15	1/4	1/4	3/4	2	1	#viio6					c	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5.0	2.0	0	2	0.0	0.0	0.5	0.0
15	15	1/2	1/2	3/4	2	1	VI6					c	i		VI6		VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	#viio7					c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	0	4	0.0	0.0	1.0	0.0
16	16	1/4	1/4	3/4	2	1	V6					c	i		V6		V		6					M	1	1	5, 2, 1		1.0	5.0	0	2	0.0	0.0	0.5	0.0
17	17	1/4	1/4	3/4	2	1	#viio7	-0.224836	3.5		/	c	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5.0	5.0	1	9	0.1	0.08333333333333333	1.4166666666666667	0.05555555555555555
18	18	0	0	3/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	1.0	0.0
19	19	1/4	1/4	3/4	2	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2.0	-1.0	1	8	0.1111111111111111	0.08333333333333333	1.1666666666666667	0.06666666666666667
20	20	0	0	3/4	2	1	V(64)					c	i		V(64)		V			64				M	1	1	1, 0, -3		1.0	1.0	0	4	0.0	0.0	1.0	0.0
21	21	1/4	1/4	3/4	2	1	V7					c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	8	0.0	0.0	1.0	0.0
22	22	0	0	3/4	2	1	i|PAC}{					c	i		i		i					PAC	}{	m	1	1	0, -3, 1		0.0	0.0	0	19	0.0	0.0	4.6875	0.0
24	24	0	0	3/4	2	1	V6					c	i		V6		V		6					M	1	1	5, 2, 1		1.0	5.0	0	17	0.0	0.0	3.3125	0.0
26	26	0	0	3/4	2	1	i					c	i		i		i							m	1	1	0, -3, 1		0.0	0.0	0	12	0.0	0.0	2.0625	0.0
27	27	1/2	1/2	3/4	2	1	i6					c	i		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	0	5	0.0	0.0	1.0	0.0
28	28	0	0	3/4	2	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2.0	-1.0	0	5	0.0	0.0	1.25	0.0
29	29	0	0	3/4	2	1	V					c	i		V		V							M	1	1	1, 5, 2		1.0	1.0	0	5	0.0	0.0	1.25	0.0
30	30	0	0	3/4	2	1	i|PAC}					c	i		i		i					PAC	}	m	1	1	0, -3, 1		0.0	0.0	0	6	0.0	0.0	1.5	0.0
32	32	0	0	3/4	2	1	III.V/IV{					c	III		V/IV		V				IV		{	M	1	0	-3, 1, -2		-3.0	-3.0	0	1	0.0	0.0	0.75	0.0
33	33	0	0	3/4	2	1	V2/IV					c	III		V2/IV		V		2		IV			Mm7	1	0	-5, -3, 1, -2		-3.0	-5.0	0	5	0.0	0.0	2.5	0.0
34	34	0	0	3/4	2	1	IV6					c	III		IV6		IV		6					M	1	0	0, -3, -4		-4.0	0.0	0	5	0.0	0.0	3.0	0.0
35	35	0	0	3/4	2	1	V43/IV					c	III		V43/IV		V		43		IV			Mm7	1	0	-2, -5, -3, 1		-3.0	-2.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
36	36	0	0	3/4	2	1	IV(4)					c	III		IV(4)		IV			4				M	1	0	-4, 2, -3		-4.0	-4.0	2	3	0.4	0.5	2.25	0.18181818181818182
36	36	1/2	1/2	3/4	2	1	IV}					c	III		IV		IV						}	M	1	0	-4, 0, -3		-4.0	-4.0	0	1	0.0	0.0	0.25	0.0
37	37	0	0	3/4	2	1	V2/ii{					c	III		V2/ii		V		2		ii		{	Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	0	5	0.0	0.0	2.5	0.0
38	38	0	0	3/4	2	1	ii6					c	III		ii6		ii		6					m	1	0	-4, 0, -1		-1.0	-4.0	0	5	0.0	0.0	3.0	0.0
39	39	0	0	3/4	2	1	V43/ii	0	-6.8		/	c	III		V43/ii		V		43		ii			Mm7	1	0	1, -2, 0, 4		0.0	1.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
40	40	0	0	3/4	2	1	ii(4)	0	-6.8		/	c	III		ii(4)		ii			4				m	1	0	-1, -2, 0		-1.0	-1.0	2	3	0.4	1.0	1.75	0.36363636363636365
40	40	1/2	1/2	3/4	2	1	ii}	0	-6.8		/	c	III		ii		ii						}	m	1	0	-1, -4, 0		-1.0	-1.0	0	1	0.0	0.0	0.25	0.0
41	41	0	0	3/4	2	1	V2/bVII{					c	III		V2/bVII		V		2		bVII		{	Mm7	1	0	-6, -4, 0, -3		-4.0	-6.0	0	5	0.0	0.0	2.5	0.0
42	42	0	0	3/4	2	1	bVII6					c	III		bVII6		bVII		6					M	1	0	-1, -4, -5		-5.0	-1.0	0	5	0.0	0.0	3.0	0.0
43	43	0	0	3/4	2	1	V43/bVII	0.112418	7.12107		/	c	III		V43/bVII		V		43		bVII			Mm7	1	0	-3, -6, -4, 0		-4.0	-3.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
44	44	0	0	3/4	2	1	bVII(4)	0	-6.81365		/	c	III		bVII(4)		bVII			4				M	1	0	-5, 1, -4		-5.0	-5.0	3	2	0.6	1.25	1.5	0.45454545454545453
44	44	1/2	1/2	3/4	2	1	bVII	0	-7.32218		/	c	III		bVII		bVII							M	1	0	-5, -1, -4		-5.0	-5.0	0	1	0.0	0.0	0.25	0.0
45	45	0	0	3/4	2	1	Fr6	0	-6.50853		/	c	III		Fr6	Fr	V		43	b5	V			Fr	1	0	-7, -3, -1, 3		-1.0	-7.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
46	46	0	0	3/4	2	1	V(4)					c	III		V(4)		V			4				M	1	0	-2, -3, -1		-2.0	-2.0	0	4	0.0	0.0	2.0	0.0
46	46	1/2	1/2	3/4	2	1	V					c	III		V		V							M	1	0	-2, 2, -1		-2.0	-2.0	0	1	0.0	0.0	0.25	0.0
47	47	0	0	3/4	2	1	viio7/V					c	III		viio7/V		vii	o	7		V			o7	1	0	3, 0, -3, -6		3.0	3.0	1	5	0.16666666666666666	0.25	2.0	0.1111111111111111
48	48	0	0	3/4	2	1	V[V|HC}{					c	III	V	V		V					HC	}{	M	1	0	-2, 2, -1		-2.0	-2.0	1	4	0.2	0.25	1.5	0.14285714285714285
49	49	0	0	3/4	2	1	V7	0.786925	4.41472		/	c	III	V	V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	3	3	0.5	0.75	1.25	0.375
50	50	0	0	3/4	2	1	iii6(4)					c	III	V	iii6(4)		iii		6	4				m	1	0	0, 2, 1		1.0	0.0	1	2	0.3333333333333333	0.75	0.5	0.6
50	50	1/4	1/4	3/4	2	1	iii6	0.449671	4.28692		/	c	III	V	iii6		iii		6					m	1	0	-2, 2, 1		1.0	-2.0	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
51	51	0	0	3/4	2	1	V7					c	III	V	V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	1	5	0.16666666666666666	0.25	1.75	0.125
52	52	0	0	3/4	2	1	I(4)					c	III	V	I(4)		I			4				M	1	0	-3, -4, -2		-3.0	-3.0	0	3	0.0	0.0	1.25	0.0
52	52	1/4	1/4	3/4	2	1	I	0.899343	4.51176		/	c	III	V	I		I							M	1	0	-3, 1, -2		-3.0	-3.0	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
53	53	0	0	3/4	2	1	V7(9)					c	III	V	V7(9)		V		7	9				Mm7	1	0	-2, 2, -1, -4	0	-2.0	-2.0	2	7	0.2222222222222222	0.375	1.75	0.17647058823529413
54	54	0	0	3/4	2	1	iii6					c	III	V	iii6		iii		6					m	1	0	-2, 2, 1		1.0	-2.0	3	6	0.3333333333333333	0.5	1.625	0.23529411764705882
55	55	0	0	3/4	2	1	V7]					c	III	V	V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	2	7	0.2222222222222222	0.375	1.75	0.17647058823529413
56	56	0	0	3/4	2	1	I|IAC}{					c	III		I		I					IAC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	2	14	0.125	0.25	2.75	0.08333333333333333
58	58	0	0	3/4	2	1	V43(4)					c	III		V43(4)		V		43	4				Mm7	1	0	-1, -4, -2, -3		-2.0	-1.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
59	59	0	0	3/4	2	1	V43					c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2.0	-1.0	1	6	0.14285714285714285	0.125	0.875	0.125
60	60	0	0	3/4	2	1	V6					c	III		V6		V		6					M	1	0	2, -1, -2		-2.0	2.0	0	5	0.0	0.0	1.25	0.0
60	60	1/2	1/2	3/4	2	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	2	0.0	0.0	0.25	0.0
61	61	0	0	3/4	2	1	V6					c	III		V6		V		6					M	1	0	2, -1, -2		-2.0	2.0	1	5	0.16666666666666666	0.125	0.875	0.125
61	61	1/2	1/2	3/4	2	1	V43					c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2.0	-1.0	0	3	0.0	0.0	0.5	0.0
62	62	0	0	3/4	2	1	I(4)					c	III		I(4)		I			4				M	1	0	-3, -4, -2		-3.0	-3.0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
63	63	0	0	3/4	2	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	8	23	0.25806451612903225	1.0	3.0	0.25
66	66	0	0	3/4	2	1	V43(4)	0	-6.46972		/	c	III		V43(4)		V		43	4				Mm7	1	0	-1, -4, -2, -3		-2.0	-1.0	0	7	0.0	0.0	1.5	0.0
67	67	0	0	3/4	2	1	V43					c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2.0	-1.0	0	7	0.0	0.0	1.0	0.0
68	68	0	0	3/4	2	1	V6					c	III		V6		V		6					M	1	0	2, -1, -2		-2.0	2.0	6	18	0.25	0.75	2.25	0.25
70	70	0	0	3/4	2	1	I|EC}{					c	III		I		I					EC	}{	M	1	0	-3, 1, -2		-3.0	-3.0	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
71	71	0	0	3/4	2	1	I6					c	III		I6		I		6					M	1	0	1, -2, -3		-3.0	1.0	1	7	0.125	0.125	1.375	0.08333333333333333
72	72	0	0	3/4	2	1	IV					c	III		IV		IV							M	1	0	-4, 0, -3		-4.0	-4.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
73	73	0	0	3/4	2	1	viio/V					c	III		viio/V		vii	o			V			o	1	0	3, 0, -3		3.0	3.0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
74	74	0	0	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	0	7	0.0	0.0	1.5	0.0
75	75	0	0	3/4	2	1	V7					c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	1	8	0.1111111111111111	0.0	1.5	0.0
76	76	0	0	3/4	2	1	I|IAC}					c	III		I		I					IAC	}	M	1	0	-3, 1, -2		-3.0	-3.0	0	14	0.0	0.0	2.0	0.0
78	78	0	0	3/4	2	1	I6{					c	III		I6		I		6				{	M	1	0	1, -2, -3		-3.0	1.0	1	4	0.2	0.125	0.625	0.16666666666666666
78	78	1/2	1/2	3/4	2	1	I64					c	III		I64		I		64					M	1	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.5	0.0
79	79	0	0	3/4	2	1	I6					c	III		I6		I		6					M	1	0	1, -2, -3		-3.0	1.0	1	4	0.2	0.125	0.875	0.125
79	79	1/2	1/2	3/4	2	1	I64					c	III		I64		I		64					M	1	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.5	0.0
80	80	0	0	3/4	2	1	IV					c	III		IV		IV							M	1	0	-4, 0, -3		-4.0	-4.0	1	4	0.2	0.125	0.875	0.125
80	80	1/2	1/2	3/4	2	1	IV6					c	III		IV6		IV		6					M	1	0	0, -3, -4		-4.0	0.0	0	3	0.0	0.0	0.5	0.0
81	81	0	0	3/4	2	1	viio/V					c	III		viio/V		vii	o			V			o	1	0	3, 0, -3		3.0	3.0	1	4	0.2	0.125	0.875	0.125
81	81	1/2	1/2	3/4	2	1	viio6/V	-0.899343	4.45878		/	c	III		viio6/V		vii	o	6		V			o	1	0	0, -3, 3		3.0	0.0	0	3	0.0	0.0	0.5	0.0
82	82	0	0	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	2	6	0.25	0.25	0.75	0.25
82	82	1/2	1/2	3/4	2	1	V6(6)/vi	-1.34901	11.1554		/	c	III		V6(6)/vi		V		6	6	vi			M	1	0	5, -3, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
83	83	0	0	3/4	2	1	vi					c	III		vi		vi							m	1	0	0, -3, 1		0.0	0.0	2	6	0.25	0.25	0.75	0.25
83	83	1/2	1/2	3/4	2	1	viio/V					c	III		viio/V		vii	o			V			o	1	0	3, 0, -3		3.0	3.0	0	4	0.0	0.0	0.5	0.0
84	84	0	0	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	2	6	0.25	0.25	0.75	0.25
84	84	1/2	1/2	3/4	2	1	V6(6)/vi	-0.786925	10.8243		/	c	III		V6(6)/vi		V		6	6	vi			M	1	0	5, -3, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
85	85	0	0	3/4	2	1	vi	0.562089	9.07729		/	c	III		vi		vi							m	1	0	0, -3, 1		0.0	0.0	2	6	0.25	0.25	0.75	0.25
85	85	1/2	1/2	3/4	2	1	viio/V					c	III		viio/V		vii	o			V			o	1	0	3, 0, -3		3.0	3.0	0	4	0.0	0.0	0.5	0.0
86	86	0	0	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	0	9	0.0	0.0	1.8125	0.0
87	87	1/4	1/4	3/4	2	1	#viio43/iii					c	III		#viio43/iii		#vii	o	43		iii			o7	1	0	0, -3, 6, 3		6.0	0.0	0	7	0.0	0.0	1.3125	0.0
88	88	1/4	1/4	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	0	7	0.0	0.0	1.3125	0.0
89	89	1/4	1/4	3/4	2	1	#viio65/iii					c	III		#viio65/iii		#vii	o	65		iii			o7	1	0	3, 0, -3, 6		6.0	3.0	1	7	0.125	0.375	1.3125	0.2222222222222222
90	90	1/4	1/4	3/4	2	1	V(64)					c	III		V(64)		V			64				M	1	0	-2, -3, 1		-2.0	-2.0	0	21	0.0	0.0	4.375	0.0
93	93	1/2	1/2	3/4	2	1	V7					c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
94	94	0	0	3/4	2	1	I|PAC}					c	III		I		I					PAC	}	M	1	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
94	94	1/4	1/4	3/4	2	1	V{					c	III		V		V						{	M	1	0	-2, 2, -1		-2.0	-2.0	1	2	0.3333333333333333	0.25	0.75	0.25
95	95	0	0	3/4	2	1	V2					c	III		V2		V		2					Mm7	1	0	-4, -2, 2, -1		-2.0	-4.0	1	6	0.14285714285714285	0.25	2.0	0.1111111111111111
95	95	1/2	1/2	3/4	2	1	V43					c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2.0	-1.0	0	5	0.0	0.0	1.25	0.0
96	96	0	0	3/4	2	1	I(6)					c	III		I(6)		I			6				M	1	0	-3, 1, 0		-3.0	-3.0	0	4	0.0	0.0	1.5	0.0
96	96	1/4	1/4	3/4	2	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
97	97	0	0	3/4	2	1	V7					c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	9	0.0	0.0	2.25	0.0
98	98	0	0	3/4	2	1	I(9)					c	III		I(9)		I			9				M	1	0	-3, 1, -2	-1	-3.0	-3.0	0	4	0.0	0.0	1.5	0.0
98	98	1/4	1/4	3/4	2	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	1	3	0.25	0.25	1.0	0.2
99	99	0	0	3/4	2	1	V2					c	III		V2		V		2					Mm7	1	0	-4, -2, 2, -1		-2.0	-4.0	1	6	0.14285714285714285	0.25	2.0	0.1111111111111111
99	99	1/2	1/2	3/4	2	1	V43	0.224836	7.3861		/	c	III		V43		V		43					Mm7	1	0	-1, -4, -2, 2		-2.0	-1.0	0	5	0.0	0.0	1.25	0.0
100	100	0	0	3/4	2	1	I(6)					c	III		I(6)		I			6				M	1	0	-3, 1, 0		-3.0	-3.0	0	4	0.0	0.0	1.5	0.0
100	100	1/4	1/4	3/4	2	1	I					c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
101	101	0	0	3/4	2	1	V7					c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	9	0.0	0.0	2.25	0.0
102	102	0	0	3/4	2	1	I(9)					c	III		I(9)		I			9				M	1	0	-3, 1, -2	-1	-3.0	-3.0	0	4	0.0	0.0	1.5	0.0
102	102	1/4	1/4	3/4	2	1	I	0.337254	3.94967		/	c	III		I		I							M	1	0	-3, 1, -2		-3.0	-3.0	0	3	0.0	0.0	0.75	0.0
103	103	0	0	3/4	2	1	V7					c	III		V7		V		7					Mm7	1	0	-2, 2, -1, -4		-2.0	-2.0	0	9	0.0	0.0	2.25	0.0
104	104	0	0	3/4	2	1	I(974)					c	III		I(974)		I			974				M	1	0	-3, -4, -2	-1, 2	-3.0	-3.0	1	5	0.16666666666666666	0.25	2.75	0.08333333333333333
105	105	0	0	3/4	2	1	I|PAC}					c	III		I		I					PAC	}	M	1	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
106	106	0	0	3/4	2	1	i.I{					c	i		I		I						{	M	1	1	0, 4, 1		0.0	0.0	0	16	0.0	0.0	3.9375	0.0
108	108	1/2	1/2	3/4	2	1	I6					c	i		I6		I		6					M	1	1	4, 1, 0		0.0	4.0	0	8	0.0	0.0	3.0	0.0
109	109	1/2	1/2	3/4	2	1	#viio43					c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5.0	-1.0	0	17	0.0	0.0	3.8125	0.0
112	112	1/2	1/2	3/4	2	1	iio6					c	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2.0	-1.0	0	8	0.0	0.0	3.0	0.0
113	113	1/2	1/2	3/4	2	1	iv.#viio65					c	iv		#viio65		#vii	o	65					o7	1	1	1, -2, -5, 4		4.0	1.0	0	16	0.0	0.0	3.5625	0.0
116	116	0	0	3/4	2	1	#viio6	3.9338e-7	3.45439		/	c	iv		#viio6		#vii	o	6					o	1	1	1, -2, 4		4.0	1.0	0	2	0.0	0.0	0.5	0.0
117	117	0	0	3/4	2	1	#viio					c	iv		#viio		#vii	o						o	1	1	4, 1, -2		4.0	4.0	0	2	0.0	0.0	0.5	0.0
118	118	0	0	3/4	2	1	i|PAC}{					c	iv		i		i					PAC	}{	m	1	1	-1, -4, 0		-1.0	-1.0	0	18	0.0	0.0	4.5	0.0
120	120	0	0	3/4	2	1	V43					c	iv		V43		V		43					Mm7	1	1	1, -2, 0, 4		0.0	1.0	4	8	0.3333333333333333	1.0	1.25	0.4444444444444444
121	121	0	0	3/4	2	1	V65					c	iv		V65		V		65					Mm7	1	1	4, 1, -2, 0		0.0	4.0	0	12	0.0	0.0	2.25	0.0
122	122	0	0	3/4	2	1	V					c	iv		V		V							M	1	1	0, 4, 1		0.0	0.0	0	10	0.0	0.0	2.25	0.0
123	123	0	0	3/4	2	1	V65					c	iv		V65		V		65					Mm7	1	1	4, 1, -2, 0		0.0	4.0	0	10	0.0	0.0	2.25	0.0
124	124	0	0	3/4	2	1	i(4)					c	iv		i(4)		i			4				m	1	1	-1, -2, 0		-1.0	-1.0	1	7	0.125	0.125	2.125	0.05555555555555555
125	125	0	0	3/4	2	1	i}					c	iv		i		i						}	m	1	1	-1, -4, 0		-1.0	-1.0	1	5	0.16666666666666666	0.125	0.875	0.125
125	125	1/2	1/2	3/4	2	1	vii.V2{	-0.899343	5.84902		/	c	vii		V2		V		2				{	Mm7	1	1	-3, -1, 3, 0		-1.0	-3.0	0	4	0.0	0.0	0.75	0.0
126	126	0	0	3/4	2	1	i6	0	4.57439		/	c	vii		i6		i		6					m	1	1	-5, -1, -2		-2.0	-5.0	1	7	0.125	0.125	2.125	0.05555555555555555
127	127	0	0	3/4	2	1	i					c	vii		i		i							m	1	1	-2, -5, -1		-2.0	-2.0	1	9	0.1	0.125	2.125	0.05555555555555555
128	128	0	0	3/4	2	1	V43	0	-6.40187		/	c	vii		V43		V		43					Mm7	1	1	0, -3, -1, 3		-1.0	0.0	4	8	0.3333333333333333	1.0	1.25	0.4444444444444444
129	129	0	0	3/4	2	1	V65	0	-6.5741		/	c	vii		V65		V		65					Mm7	1	1	3, 0, -3, -1		-1.0	3.0	0	12	0.0	0.0	2.25	0.0
130	130	0	0	3/4	2	1	V					c	vii		V		V							M	1	1	-1, 3, 0		-1.0	-1.0	0	10	0.0	0.0	2.25	0.0
131	131	0	0	3/4	2	1	V65					c	vii		V65		V		65					Mm7	1	1	3, 0, -3, -1		-1.0	3.0	0	10	0.0	0.0	2.25	0.0
132	132	0	0	3/4	2	1	i(4)	0	-6.31576		/	c	vii		i(4)		i			4				m	1	1	-2, -3, -1		-2.0	-2.0	1	7	0.125	0.125	2.125	0.05555555555555555
133	133	0	0	3/4	2	1	i}					c	vii		i		i						}	m	1	1	-2, -5, -1		-2.0	-2.0	0	9	0.0	0.0	1.5	0.0
134	134	0	0	3/4	2	1	bII.V7					c	bII		V7		V		7					Mm7	1	0	-4, 0, -3, -6		-4.0	-4.0	0	16	0.0	0.0	3.0	0.0
136	136	0	0	3/4	2	1	I|IAC}{					c	bII		I		I					IAC	}{	M	1	0	-5, -1, -4		-5.0	-5.0	2	3	0.4	0.5	0.75	0.4
137	137	0	0	3/4	2	1	iii6					c	bII		iii6		iii		6					m	1	0	-4, 0, -1		-1.0	-4.0	3	3	0.5	0.75	0.75	0.5
138	138	0	0	3/4	2	1	I6	0.461432	3.26193		/	c	bII		I6		I		6					M	1	0	-1, -4, -5		-5.0	-1.0	8	4	0.6666666666666666	2.0	1.0	0.6666666666666666
140	140	0	0	3/4	2	1	I					c	bII		I		I							M	1	0	-5, -1, -4		-5.0	-5.0	6	4	0.6	1.5	1.0	0.6
141	141	1/2	1/2	3/4	2	1	iv.#viio/iv	-0.786925	2.83709		/	c	iv		#viio/iv		#vii	o			iv			o	1	1	3, 0, -3		3.0	3.0	0	2	0.0	0.0	0.5	0.0
142	142	0	0	3/4	2	1	iv	0.112418	2.5439	-6.91958	/	c	iv		iv		iv							m	1	1	-2, -5, -1		-2.0	-2.0	1	3	0.25	0.25	1.25	0.16666666666666666
143	143	0	0	3/4	2	1	iio					c	iv		iio		ii	o						o	1	1	1, -2, -5		1.0	1.0	1	6	0.14285714285714285	0.25	2.0	0.1111111111111111
144	144	0	0	3/4	2	1	V65					c	iv		V65		V		65					Mm7	1	1	4, 1, -2, 0		0.0	4.0	1	4	0.2	0.25	2.0	0.1111111111111111
145	145	0	0	3/4	2	1	V7	-0.224836	3.975		/	c	iv		V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	1	6	0.14285714285714285	0.25	2.0	0.1111111111111111
